Shipping Agent,country,year,period_number,avg_2015_transit_time,count
USPS,US,2015,1,,1528
USPS,US,2015,2,,2161
USPS,US,2015,3,,1714
USPS,US,2015,4,,1871
USPS,US,2015,5,,2144
USPS,US,2015,6,,2159
USPS,US,2015,7,,2381
USPS,US,2015,8,,2422
USPS,US,2015,9,3.42,2626
USPS,US,2015,10,3.8,2378
USPS,US,2015,11,2.78,2186
USPS,US,2015,12,3.7,2712
USPS,US,2015,13,3.48,4486
