Shipping Agent,country,year,period_number,avg_2016_transit_time,count
USPS,US,2016,1,3.02,2742
USPS,US,2016,2,2.81,2478
USPS,US,2016,3,2.68,2272
USPS,US,2016,4,2.91,2241
USPS,US,2016,5,2.56,2286
USPS,US,2016,6,2.6,2407
USPS,US,2016,7,2.77,2699
USPS,US,2016,8,2.67,2527
USPS,US,2016,9,2.83,3410
USPS,US,2016,10,2.6,3038
USPS,US,2016,11,2.56,2801
USPS,US,2016,12,3.09,3801
USPS,US,2016,13,2.84,4495
