Shipping Agent,country,year,period_number,avg_2017_transit_time,count
USPS,US,2017,1,2.62,3680
USPS,US,2017,2,2.62,4138
USPS,US,2017,3,2.7,3288
USPS,US,2017,4,2.56,3029
USPS,US,2017,5,2.62,3482
USPS,US,2017,6,2.72,3335
USPS,US,2017,7,2.61,2422
USPS,US,2017,8,2.71,2711
USPS,US,2017,9,2.87,4122
USPS,US,2017,10,2.77,2824
USPS,US,2017,11,2.88,3172
USPS,US,2017,12,3.17,6237
USPS,US,2017,13,3.0,6019
